ID_REF,GSM546233,GSM546234,GSM546235,GSM546236
10338357,2.54815,1.81762,2.38103,2.43806
10338358,3.07311,3.35049,3.40605,3.17479
10338359,2.21363,1.95804,3.15644,3.69973
10338360,2.46628,2.66928,3.26209,3.14091
10338361,3.35248,4.23377,3.32383,3.97855
10338362,1.44597,1.39648,1.419,1.47264
10338363,3.17812,3.28556,3.32581,2.63842
10338364,2.77982,2.42954,2.21528,2.55226
10338365,1.18301,1.26292,1.3229,2.37488
10338366,4.79364,4.6649,4.99781,4.04603
10338367,3.41216,2.86067,2.97834,2.94405
10338368,2.2605,3.3149,2.67981,3.3838
10338369,4.32307,4.00077,3.56099,2.98981
10338370,3.03325,2.34849,2.57418,1.56149
10338371,5.26791,5.23106,5.10772,5.12142
10338372,4.72442,3.95227,3.62512,3.29843
10338373,4.77352,4.77512,4.15322,4.68262
10338374,4.56724,5.45624,4.36417,4.53033
10338375,4.32767,4.45487,4.63631,4.1083
10338376,2.74782,3.18854,2.98403,3.31118
10338377,2.20825,2.31205,2.36954,2.1366
10338378,1.88453,2.00751,2.10469,2.09104
10338379,2.00002,1.80907,1.6027,1.75799
10338380,7.13009,7.07129,7.22222,7.40704
10338381,1.60151,1.40945,1.55832,1.49491
10338382,3.20408,3.02728,2.89902,3.00582
10338383,6.00197,5.28285,6.4561,6.06226
10338384,1.39408,2.21583,2.93428,1.38718
10338385,7.48602,7.1983,7.44945,7.36291
10338386,1.43594,1.85566,1.82941,1.60423
10338387,2.69096,1.57672,3.27125,2.94056
10338388,2.76491,3.18409,2.4755,2.46295
10338389,2.72886,2.68916,2.44581,2.96351
10338390,2.28453,2.24441,2.16173,2.20808
10338391,2.40253,2.61375,2.83491,2.82692
10338392,2.9393,2.51384,2.63722,3.16833
10338393,5.12456,5.35251,4.96778,5.01984
10338394,7.28303,7.46504,7.70951,7.56837
10338395,6.08281,6.2227,6.02882,6.6881
10338396,4.62536,5.46262,5.64044,5.32231
10338397,1.64453,2.0831,2.24435,2.16195
10338398,7.2144,6.76481,7.03085,7.16206
10338399,7.62885,7.54828,7.73762,7.72233
10338400,4.46395,3.43348,3.6941,3.73855
10338401,1.36263,1.37011,1.31315,1.72314
10338402,1.61961,1.90195,2.0274,1.8036
10338403,5.1873,5.37179,5.55546,5.33762
10338404,5.70442,5.98739,5.73151,5.75167
10338405,1.84424,1.9013,2.58511,1.83007
10338406,3.27725,4.27066,5.36268,5.4934
10338407,4.50434,3.59308,3.97006,4.58806
10338408,4.55153,3.83092,4.24143,3.73126
10338409,3.6118,4.50257,3.34086,5.29205
10338410,3.19684,3.19442,3.34818,4.04253
10338411,8.54124,8.51905,8.41229,8.3912
10338412,3.54999,3.68172,3.4208,3.53504
10338413,3.69229,3.99615,4.18136,4.05042
10338414,3.13946,3.63243,3.72844,2.94483
10338415,3.6961,3.49286,4.08673,3.35587
10338416,3.08303,3.48127,3.76252,4.00149
10338417,3.15111,4.1767,4.54251,3.68144
10338418,2.45851,1.9244,1.40646,1.75186
10338419,2.00917,2.87391,2.85167,3.44973
10338420,3.50248,3.67808,2.79153,3.58223
10338421,6.35323,6.03361,6.50071,6.74844
