hgnc_symbol	entrezgene_id	ensembl_gene_id	exp_num_xpr	cell_num_xpr	cell_name_xpr	exp_num_sh	cell_num_sh	cell_name_sh	exp_num_oe	cell_num_oe	cell_name_oe
CEBPD	1052	ENSG00000221869	NA	NA	NA	89	18	HT29|YAPC|U251MG|MCF7|A375|A549|PC3|BICR6|SNU761|IPC298|AGS|ES2|KELLY|HCC1806|SNGM|LCLC103H|KYSE30|HS944T	21	10	U251MG|AGS|ES2|HT29|PC3|A375|BICR6|A549|YAPC|DANG
CEBPE	1053	ENSG00000092067	20	10	A375|U251MG|MCF7|A549|HT29|PC3|BICR6|AGS|YAPC|ES2	NA	NA	NA	NA	NA	NA
CEBPG	1054	ENSG00000153879	3	1	HUH751	30	11	A549|U251MG|AGS|MCF7|ES2|PC3|BICR6|A375|HT29|YAPC|SNU761	1	1	HCC44
CEBPZ	10153	ENSG00000115816	NA	NA	NA	39	12	HT29|PC3|MCF7|A375|SNGM|BICR6|A549|U251MG|AGS|ES2|YAPC|HCC1806	10	9	IPC298|A549|HS944T|MCF7|YAPC|ES2|PC3|U251MG|BICR6
CEL	1056	bioMart	18	9	ES2|U251MG|A549|HT29|BICR6|A375|YAPC|PC3|AGS	NA	NA	NA	NA	NA	NA
CELA1	1990	bioMart	18	9	A549|ES2|AGS|YAPC|BICR6|A375|U251MG|HT29|PC3	NA	NA	NA	NA	NA	NA
CELA2A	63036	ENSG00000142615	20	10	AGS|PC3|HT29|A549|BICR6|YAPC|MCF7|ES2|U251MG|A375	NA	NA	NA	NA	NA	NA
CELA2B	51032	ENSG00000215704	20	10	MCF7|AGS|PC3|U251MG|BICR6|A549|HT29|YAPC|A375|ES2	NA	NA	NA	NA	NA	NA
CELF1	10658	ENSG00000149187	20	10	YAPC|AGS|PC3|MCF7|A375|A549|HT29|BICR6|U251MG|ES2	NA	NA	NA	NA	NA	NA
CELF4	56853	bioMart	20	10	ES2|AGS|PC3|YAPC|MCF7|A549|U251MG|A375|BICR6|HT29	NA	NA	NA	NA	NA	NA
CELSR2	1952	ENSG00000143126	20	10	HT29|PC3|A549|MCF7|ES2|U251MG|BICR6|AGS|A375|YAPC	30	9	A375|BICR6|AGS|ES2|HT29|PC3|A549|YAPC|NA	8	8	ES2|PC3|A375|BICR6|U251MG|A549|AGS|HT29
CELSR3	1951	ENSG00000008300	20	10	MCF7|BICR6|HT29|YAPC|AGS|A375|PC3|ES2|A549|U251MG	24	1	NA	9	8	HT29|A549|A375|SNU761|BICR6|U251MG|ES2|MCF7
CENPE	1062	ENSG00000138778	28	11	YAPC|ES2|AGS|A549|PC3|HT29|MCF7|A375|U251MG|BICR6|HS944T	46	11	SNGM|YAPC|BICR6|U251MG|ES2|A375|PC3|A549|AGS|HT29|MCF7	1	1	BICR6
CENPF	1063	ENSG00000117724	NA	NA	NA	10	8	A549|AGS|U251MG|YAPC|BICR6|MCF7|KYSE30|HT29	17	8	HCC44|BICR6|A549|AGS|ES2|MCF7|A375|U251MG
CENPU	79682	ENSG00000151725	20	10	A549|MCF7|ES2|BICR6|A375|PC3|YAPC|AGS|U251MG|HT29	NA	NA	NA	NA	NA	NA
CEP170	9859	ENSG00000143702	20	10	ES2|YAPC|PC3|A549|U251MG|HT29|BICR6|MCF7|A375|AGS	NA	NA	NA	NA	NA	NA
CEP250	11190	ENSG00000126001	NA	NA	NA	10	8	PC3|A549|BICR6|KELLY|AGS|MCF7|ES2|HT29	4	4	A375|ES2|A549|BICR6
CEP55	55165	ENSG00000138180	20	10	PC3|HT29|ES2|AGS|U251MG|BICR6|A375|MCF7|YAPC|A549	39	11	ES2|AGS|PC3|BICR6|U251MG|A375|HT29|MCF7|YAPC|HCC1806|A549	24	11	PC3|BICR6|A375|U251MG|HT29|ES2|YAPC|IPC298|A549|AGS|MCF7
CEP57	9702	ENSG00000166037	NA	NA	NA	45	13	A375|U251MG|YAPC|A549|BICR6|ES2|MCF7|PC3|SNU761|HT29|AGS|LCLC103H|KYSE30	13	10	HT29|ES2|PC3|IPC298|BICR6|A375|A549|KELLY|U251MG|AGS
CEP72	55722	ENSG00000112877	20	10	ES2|U251MG|MCF7|YAPC|A375|A549|AGS|PC3|HT29|BICR6	42	14	IPC298|A375|A549|ES2|YAPC|MCF7|AGS|PC3|SNU761|HT29|LCLC103H|U251MG|BICR6|HCC1806	10	7	BICR6|PC3|A375|AGS|MCF7|A549|HT29
CEP83	51134	ENSG00000173588	20	10	BICR6|A549|A375|PC3|AGS|HT29|ES2|MCF7|YAPC|U251MG	NA	NA	NA	NA	NA	NA
CEP89	84902	bioMart	20	10	BICR6|MCF7|HT29|ES2|U251MG|A375|A549|AGS|PC3|YAPC	NA	NA	NA	NA	NA	NA
CEPT1	10390	ENSG00000134255	NA	NA	NA	30	8	MCF7|PC3|ES2|AGS|U251MG|A549|YAPC|NA	8	4	U251MG|HT29|YAPC|PC3
CERK	64781	ENSG00000100422	NA	NA	NA	88	14	AGS|HT29|PC3|A375|U251MG|A549|BICR6|MCF7|YAPC|ES2|DANG|HCC1806|KELLY|NA	8	4	YAPC|LCLC103H|PC3|U251MG
CERKL	375298	bioMart	20	10	BICR6|U251MG|ES2|YAPC|A375|PC3|AGS|MCF7|HT29|A549	10	1	NA	NA	NA	NA
CERS2	29956	ENSG00000143418	20	10	ES2|YAPC|U251MG|HT29|A375|A549|AGS|BICR6|PC3|MCF7	27	1	NA	8	6	AGS|HT29|YAPC|DANG|A549|MCF7
