ID	Geneid	hgnc_symbol	entrezgene_id	biotype
CHST4 (10164)	ENSG00000140835	CHST4	10164	protein_coding
SLC25A13 (10165)	ENSG00000004864	SLC25A13	10165	protein_coding
SLC25A15 (10166)	ENSG00000102743	SLC25A15	10166	protein_coding
ZNF197 (10168)	ENSG00000186448	ZNF197	10168	protein_coding
SERF2 (10169)	ENSG00000140264	SERF2	10169	protein_coding
CDK2 (1017)	ENSG00000123374	CDK2	1017	protein_coding
DHRS9 (10170)	ENSG00000073737	DHRS9	10170	protein_coding
RCL1 (10171)	ENSG00000120158	RCL1	10171	protein_coding
ZNF256 (10172)	ENSG00000152454	ZNF256	10172	protein_coding
SORBS3 (10174)	ENSG00000120896	SORBS3	10174	protein_coding
CNIH1 (10175)	ENSG00000100528	CNIH1	10175	protein_coding
TENM1 (10178)	ENSG00000009694	TENM1	10178	protein_coding
RBM7 (10179)	ENSG00000076053	RBM7	10179	protein_coding
CDK3 (1018)	ENSG00000250506	CDK3	1018	protein_coding
RBM6 (10180)	ENSG00000004534	RBM6	10180	protein_coding
RBM5 (10181)	ENSG00000003756	RBM5	10181	protein_coding
LHFPL2 (10184)	ENSG00000145685	LHFPL2	10184	protein_coding
LHFPL6 (10186)	ENSG00000183722	LHFPL6	10186	protein_coding
TNK2 (10188)	ENSG00000061938	TNK2	10188	protein_coding
ALYREF (10189)	ENSG00000183684	ALYREF	10189	protein_coding
CDK4 (1019)	ENSG00000135446	CDK4	1019	protein_coding
TXNDC9 (10190)	ENSG00000115514	TXNDC9	10190	protein_coding
CCDC182 (101927581)	ENSG00000166329	CCDC182	101927581	protein_coding
FAM243A (101928147)	ENSG00000222018	FAM243A	101928147	protein_coding
C21orf140 (101928147)	ENSG00000222018	FAM243A	101928147	protein_coding
MEI4 (101928601)	ENSG00000269964	MEI4	101928601	protein_coding
ARMH2 (101928603)	ENSG00000260286	ARMH2	101928603	protein_coding
RNF41 (10193)	ENSG00000181852	RNF41	10193	protein_coding
TSHZ1 (10194)	ENSG00000179981	TSHZ1	10194	protein_coding
ALG3 (10195)	ENSG00000214160	ALG3	10195	protein_coding
PRMT3 (10196)	ENSG00000185238	PRMT3	10196	protein_coding
PSME3 (10197)	ENSG00000131467	PSME3	10197	protein_coding
MPHOSPH9 (10198)	ENSG00000051825	MPHOSPH9	10198	protein_coding
MPHOSPH10 (10199)	ENSG00000124383	MPHOSPH10	10199	protein_coding
ADAM10 (102)	ENSG00000137845	ADAM10	102	protein_coding
CDK5 (1020)	ENSG00000164885	CDK5	1020	protein_coding
MPHOSPH6 (10200)	ENSG00000135698	MPHOSPH6	10200	protein_coding
NME6 (10201)	ENSG00000172113	NME6	10201	protein_coding
DHRS2 (10202)	ENSG00000100867	DHRS2	10202	protein_coding
CALCRL (10203)	ENSG00000064989	CALCRL	10203	protein_coding
NUTF2 (10204)	ENSG00000102898	NUTF2	10204	protein_coding
MPZL2 (10205)	ENSG00000149573	MPZL2	10205	protein_coding
TRIM13 (10206)	ENSG00000204977	TRIM13	10206	protein_coding
PATJ (10207)	ENSG00000132849	PATJ	10207	protein_coding
USPL1 (10208)	ENSG00000132952	USPL1	10208	protein_coding
EIF1 (10209)	ENSG00000173812	EIF1	10209	protein_coding
CDK6 (1021)	ENSG00000105810	CDK6	1021	protein_coding
TOPORS (10210)	ENSG00000197579	TOPORS	10210	protein_coding
FLOT1 (10211)	ENSG00000137312	FLOT1	10211	protein_coding
DDX39A (10212)	ENSG00000123136	DDX39A	10212	protein_coding
PSMD14 (10213)	ENSG00000115233	PSMD14	10213	protein_coding
SSX3 (10214)	ENSG00000165584	SSX3	10214	protein_coding
OLIG2 (10215)	ENSG00000205927	OLIG2	10215	protein_coding
AK6 (102157402)	ENSG00000085231	AK6	102157402	protein_coding
PRG4 (10216)	ENSG00000116690	PRG4	10216	protein_coding
CTDSPL (10217)	ENSG00000144677	CTDSPL	10217	protein_coding
ANGPTL7 (10218)	ENSG00000171819	ANGPTL7	10218	protein_coding
KLRG1 (10219)	ENSG00000139187	KLRG1	10219	protein_coding
CDK7 (1022)	ENSG00000134058	CDK7	1022	protein_coding
GDF11 (10220)	ENSG00000135414	GDF11	10220	protein_coding
TRIB1 (10221)	ENSG00000173334	TRIB1	10221	protein_coding
GPA33 (10223)	ENSG00000143167	GPA33	10223	protein_coding
ZNF443 (10224)	ENSG00000180855	ZNF443	10224	protein_coding
CD96 (10225)	ENSG00000153283	CD96	10225	protein_coding
PLIN3 (10226)	ENSG00000105355	PLIN3	10226	protein_coding
MFSD10 (10227)	ENSG00000109736	MFSD10	10227	protein_coding
STX6 (10228)	ENSG00000135823	STX6	10228	protein_coding
COQ7 (10229)	ENSG00000167186	COQ7	10229	protein_coding
RCAN2 (10231)	ENSG00000172348	RCAN2	10231	protein_coding
MSLN (10232)	ENSG00000102854	MSLN	10232	protein_coding
LRRC23 (10233)	ENSG00000010626	LRRC23	10233	protein_coding
LRRC17 (10234)	ENSG00000128606	LRRC17	10234	protein_coding
RASGRP2 (10235)	ENSG00000068831	RASGRP2	10235	protein_coding
HNRNPR (10236)	ENSG00000125944	HNRNPR	10236	protein_coding
SLC35B1 (10237)	ENSG00000121073	SLC35B1	10237	protein_coding
AP3S2 (10239)	ENSG00000157823	AP3S2	10239	protein_coding
CDK8 (1024)	ENSG00000132964	CDK8	1024	protein_coding
MRPS31 (10240)	ENSG00000102738	MRPS31	10240	protein_coding
CALCOCO2 (10241)	ENSG00000136436	CALCOCO2	10241	protein_coding
KCNMB2 (10242)	ENSG00000197584	KCNMB2	10242	protein_coding
GPHN (10243)	ENSG00000171723	GPHN	10243	protein_coding
RABEPK (10244)	ENSG00000136933	RABEPK	10244	protein_coding
TIMM17B (10245)	ENSG00000126768	TIMM17B	10245	protein_coding
SLC17A2 (10246)	ENSG00000112337	SLC17A2	10246	protein_coding
RIDA (10247)	ENSG00000132541	RIDA	10247	protein_coding
POP7 (10248)	ENSG00000172336	POP7	10248	protein_coding
GLYAT (10249)	ENSG00000149124	GLYAT	10249	protein_coding
CDK9 (1025)	ENSG00000136807	CDK9	1025	protein_coding
SRRM1 (10250)	ENSG00000133226	SRRM1	10250	protein_coding
SPRY3 (10251)	ENSG00000168939	SPRY3	10251	protein_coding
SPRY1 (10252)	ENSG00000164056	SPRY1	10252	protein_coding
SPRY2 (10253)	ENSG00000136158	SPRY2	10253	protein_coding
STAM2 (10254)	ENSG00000115145	STAM2	10254	protein_coding
